PartName,GadgetronPN,SeeedPN,SeeedManufacturerPartNumber,SeeedDescription,SeeedCategory,SeeedPackage,Manufacturer,Datasheet,Seeed3D-Module,DigikeyPartNumber,SeeedMouserPartNumber,Creator,Reviewer,Datasheet2,Datasheet3,Datasheet4,Cost,Value,Resistance,Capacitance,Material,Inductance,Tolerance,Voltage,Power,PrimarySupplier,PrimarySupplierPartNumber,SecondarySupplier,SecondarySupplierPartNumber,NonPopulated,Comments
CAP-POLAR-10UF-1210-TANTALUM-16V-10%,Seeed0130120P1,0130120P1,TAJB106K016RNJ,SMD CAP Tantalum 10uF-16V 10%,Capacitor,AVX-B,AVX,0130120P1.pdf,AVX-B,478-1673-1-ND,581-TAJB106K016,Swanson,,,,,,10uF,,10uF,Tantalum,,10%,16,,,,,,,
CAP-POLAR-47UF-1210-TANTALUM-10V-10%,Seeed0130180P1,0130180P1,TAJB476K010RNJ,SMD CAP Tantalum 47uF-10V 10%,Capacitor,AVX-B,AVX,0130180P1.pdf,AVX-B,478-1693-1-ND,581-TAJB476K010,Swanson,,,,,,47uF,,47uF,Tantalum,,10%,10,,,,,,,
CAP-POLAR-22UF-1210-TANTALUM-10V-10%,Seeed0130240P1,0130240P1,TAJB226K010RNJ,SMD CAP Tantalum 22uF-10V 10%,Capacitor,AVX-B,AVX,0130240P1.pdf,AVX-B,478-3039-1-ND,581-TAJB226K010,Swanson,,,,,,22uF,,22uF,Tantalum,,10%,10,,,,,,,
CAP-POLAR-10UF-1210-TANTALUM-10V-10%,Seeed0130100P1,0130100P1,TAJB106K010RNJ,SMD CAP Tantalum 10uF-10V 10%,Capacitor,AVX-B,AVX,0130100P1.pdf,AVX-B,478-1672-1-ND,581-TAJB106K010,Swanson,,,,,,10uF,,10uF,Tantalum,,10%,10,,,,,,,
CAP-POLAR-100UF-2312-TANTALUM-10V-10%,Seeed0130170P1,0130170P1,TAJC107K010RNJ,SMD CAP Tantalum 100uF-10V 10%,Capacitor,AVX-C,AVX,0130170P1.pdf,AVX-C,478-1704-1-ND,581-TAJC107K010R,Swanson,,,,,,100uF,,100uF,Tantalum,,10%,10,,,,,,,
CAP-POLAR-22UF-2312-TANTALUM-25V-10%,Seeed0130360P1,0130360P1,TAJC226K025RNJ,SMD CAP Tantalum 22uF-25V 10% 2312,Capacitor,AVX-C,AVX,0130360P1.pdf,AVX-C,478-1712-1-ND,581-TAJC226K025R,Swanson,,,,,,22uF,,22uF,Tantalum,,10%,25,,,,,,,
BATTERY-3V-CR2032-CLIP,G000000001,,,,Battery,,,,,,,Swanson,,,,,,,,,,,,3,,,,,,,
CAP-GENERIC,G000000003,,,,Capacitor,,,,,,,Swanson,,,,,,Unspecified,,Unspecified,Unspecified,,Unspecified,Unspecified,,,,,,,
RES-GENERIC,G000000004,,,,Resistor,,,,,,,Swanson,,,,,,,Unspecified,,,,Unspecified,,,,,,,,
BATTERY-GENERIC,G000000005,,,,Battery,,,,,,,Swanson,,,,,,,,,,,,Unspecified,,,,,,,
BATTERY-AA-CLIP,G000000002,,,,Battery,,,1024-AA-Battery-Holder.pdf ,,,,Swanson,,,,,,,,,,,,,,Digikey,1024K-ND,,,,
CAP-NOPOP-0603,G000000005,,,,Capacitor,,,,,,,Swanson,,,,,,,,,,,,,,,,,,Yes,
CAP-POLAR-NOPOP-1206,G000000006,,,,Capacitor,,,,,,,Swanson,,,,,,,,,,,,,,,,,,Yes,
RES-NOPOP-0603,G000000007,,,,Resistor,,,,,,,Swanson,,,,,,,,,,,,,,,,,,Yes,
CAP-SUPER-10F-TS12S-R,G000000008,,,,Capacitor,,,10F-Supercap-TS12S-R.pdf,,,,Swanson,Swanson,,,,,10F,,10F,,,,5,,Sparkfun,COM-00746,,,,
HEADER-1X2-2.54MM-FEMALE-BLACK,G000000009,,,,Connector,,,,,S7000-ND,,Swanson,,,,,,,,,,,,,,,,,,,
HEADER-1X2-2MM-JST-POWER,G000000010,,,,Connector,,,B2B-PH-K-S(LF)(SN).pdf,,455-1704-ND,,Swanson,,,,,,,,,,,,,,,,,,,
IC-6AXIS-ACCEL-GYRO-MPU6500,G000000011,,,,IC,,,PS-MPU-6500A-01.pdf,,1428-1011-1-ND,,Swanson,,,,,,,,,,,,,,,,,,,
IC-9AXIS-ACCEL-GYRO-COMPASS-MPU9250,G000000012,,,,IC,,,PS-MPU-9250A-01.pdf,,1428-1019-1-ND,,Swanson,,,,,,,,,,,,,,,,,,,
LED-BLUE-CLEAR-0805,G000000013,,,,Diode,,,S_110_LTST-C170TBKT.pdf,,160-1579-1-nd,,Swanson,,,,,,,,,,,,,,,,,,,
HEADER-1X2-2.54MM-FEMALE-BLACK,G000000014,,,,Connector,,,,,,,Swanson,,,,,,,,,,,,,,,,,,,
CAP-POLAR-3300UF-ALUMINUM-SMD,G000000015,,,,Capacitor,,,ABA0000CE120.pdf,,PCE3460TR-ND,,Swanson,,,,,,3300UF,,3300UF,Aluminum,,20%,16,,,,,,,
RES-CONFIGURABLE,G000000016,,,,Resistor,,,,,,,Swanson,,,,,,Unspecified,,,,,,,,,,,,Yes,
